,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,,PaymentMethod,OrderStatus,City,State,Country,SellerID
42940,ORD0042941,06-08-2024,CUST041157,Mohit Kapoor,P00026,Sunglasses,Toys & Games,HomeEase,3,110.99,0.1,23.97,10.53,,Credit Card,Delivered,Columbus,OH,Canada,SELL01045
48495,ORD0048496,15-09-2022,CUST033184,Ritika Gupta,P00004,USB-C Charger,Books,NexPro,4,412.04,0.25,148.33,7.46,,UPI,Delivered,Los Angeles,CA,United States,SELL01118
81216,ORD0081217,10-04-2020,CUST019959,Neha Sharma,P00032,Board Game,Books,Zenith,5,43.79,0,26.27,2.08,,UPI,Shipped,Chicago,IL,United States,SELL00214
57476,ORD0057477,01-05-2023,CUST033485,Aman Patel,P00032,Board Game,Home & Kitchen,FitLife,2,301.77,0,72.42,8.24,,Credit Card,Delivered,Denver,CO,United States,SELL00291
2456,ORD0002457,09-05-2020,CUST005654,Priya Verma,P00007,Mechanical Keyboard,Electronics,BrightLux,5,304.14,0,121.66,0.09,,UPI,Delivered,Chicago,IL,India,SELL01126
66958,ORD0066959,14-07-2023,CUST032318,Anjali Kumar,P00033,Puzzle 1000pc,Books,ReadMore,2,493.07,0,177.51,14.35,,Amazon Pay,Returned,Philadelphia,PA,United States,SELL01508
39606,ORD0039607,05-12-2022,CUST043792,Aditya Reddy,P00050,Novel Bestseller,Books,CoreTech,2,126.06,0,45.38,10,,Credit Card,Shipped,Indianapolis,IN,India,SELL00034
95202,ORD0095203,25-07-2022,CUST020652,Sahil Singh,P00030,Dress Shirt,Books,ReadMore,4,121.05,0.1,78.44,14.23,,UPI,Shipped,Jacksonville,FL,United States,SELL01125
62195,ORD0062196,21-06-2020,CUST024109,Vivaan Gupta,P00036,Smart Light Bulb,Books,Zenith,2,273.26,0.05,62.3,10.54,,Credit Card,Shipped,Indianapolis,IN,India,SELL01353
31208,ORD0031209,13-01-2022,CUST016640,Aarav Patel,P00029,T-Shirt,Electronics,FitLife,3,5.16,0.2,0.62,2.23,,Credit Card,Delivered,Denver,CO,United States,SELL00537
25287,ORD0025288,28-07-2022,CUST013743,Mohit Verma,P00009,Portable SSD 1TB,Electronics,NexPro,5,252.5,0.05,215.89,3.67,,Amazon Pay,Cancelled,New York,NY,India,SELL00952
10476,ORD0010477,13-12-2024,CUST046344,Mohit Kumar,P00014,Drone Mini,Clothing,UrbanStyle,2,474.2,0,113.81,10.9,,Debit Card,Delivered,Fort Worth,TX,United States,SELL01807
9267,ORD0009268,25-08-2023,CUST033447,Rohit Singh,P00044,Power Bank 20000mAh,Sports & Outdoors,CoreTech,1,448.94,0,35.92,5.89,,Credit Card,Delivered,San Diego,CA,United States,SELL00401
95795,ORD0095796,03-11-2022,CUST004793,Vihaan Verma,P00006,Gaming Mouse,Toys & Games,ReadMore,4,350.59,0.1,0,3.87,,Debit Card,Delivered,Columbus,OH,United States,SELL00214
56169,ORD0056170,06-05-2021,CUST020242,Ritika Joshi,P00011,Fitness Band,Electronics,Apex,2,23.37,0.15,7.15,4.17,,Debit Card,Delivered,Seattle,WA,United States,SELL00478
88222,ORD0088223,13-11-2024,CUST009119,Aarav Sharma,P00010,Smartwatch,Electronics,Apex,5,250.44,0,0,1.71,,Credit Card,Delivered,New York,NY,Australia,SELL00621
25976,ORD0025977,02-12-2023,CUST015919,Karan Mehta,P00026,Sunglasses,Sports & Outdoors,Zenith,3,354.4,0.05,0,10.29,,Amazon Pay,Delivered,Philadelphia,PA,United States,SELL01793
12899,ORD0012900,07-10-2024,CUST028481,Ritika Singh,P00012,Noise Cancelling Headphones,Home & Kitchen,ReadMore,1,123.07,0.05,5.85,10.09,,Credit Card,Pending,Washington,DC,United States,SELL00259
25200,ORD0025201,24-07-2023,CUST002753,Ritika Reddy,P00037,Router,Books,CoreTech,1,104.35,0.1,4.7,6.72,,Credit Card,Delivered,San Diego,CA,United States,SELL01098
88,ORD0000089,19-07-2021,CUST043394,Aman Kapoor,P00029,T-Shirt,Books,Zenith,3,324.31,0.2,62.27,4.63,,Debit Card,Delivered,Denver,CO,United States,SELL00041
98610,ORD0098611,14-02-2022,CUST024560,Arjun Verma,P00036,Smart Light Bulb,Home & Kitchen,HomeEase,4,396.11,0.15,107.74,2.35,,Amazon Pay,Shipped,Columbus,OH,India,SELL00926
42451,ORD0042452,13-08-2022,CUST013062,Anjali Sharma,P00002,Bluetooth Speaker,Sports & Outdoors,Zenith,1,153.8,0.05,11.69,9.39,,Amazon Pay,Delivered,Dallas,TX,Canada,SELL00266
96664,ORD0096665,13-09-2020,CUST046122,Sneha Sharma,P00042,Projector Mini,Home & Kitchen,BrightLux,1,369.46,0,44.34,1.54,,Credit Card,Shipped,San Antonio,TX,United States,SELL00312
80862,ORD0080863,21-03-2023,CUST025561,Vikas Gupta,P00005,Laptop Sleeve,Clothing,ReadMore,4,390.94,0.2,62.55,12.35,,Net Banking,Delivered,Phoenix,AZ,United States,SELL00135
35127,ORD0035128,14-07-2020,CUST017146,Sahil Sharma,P00009,Portable SSD 1TB,Electronics,NexPro,4,329.92,0.05,150.44,9.75,,Credit Card,Returned,Philadelphia,PA,United States,SELL01821
47818,ORD0047819,04-12-2023,CUST024537,Ritika Kapoor,P00048,Wireless Charger,Toys & Games,Apex,4,52.13,0,25.02,1.32,,Net Banking,Delivered,Charlotte,NC,Canada,SELL00569
94821,ORD0094822,15-11-2021,CUST035020,Priya Gupta,P00032,Board Game,Electronics,Apex,3,569.33,0.2,109.31,10.56,,UPI,Delivered,Charlotte,NC,Canada,SELL00801
53387,ORD0053388,23-07-2020,CUST005182,Rohit Reddy,P00012,Noise Cancelling Headphones,Toys & Games,Apex,5,155.4,0.05,59.05,10.68,,Credit Card,Delivered,Dallas,TX,United States,SELL01388
89849,ORD0089850,02-01-2020,CUST026938,Anjali Reddy,P00038,External HDD 2TB,Toys & Games,Apex,5,67.85,0.15,14.42,6.91,,Cash on Delivery,Delivered,San Francisco,CA,India,SELL00766
75039,ORD0075040,20-07-2022,CUST043965,Anjali Mehta,P00020,Office Chair,Electronics,KiddoFun,3,27.84,0.2,3.34,10.36,,Amazon Pay,Delivered,Columbus,OH,United States,SELL00761
73350,ORD0073351,08-08-2021,CUST040980,Neha Mehta,P00018,Vacuum Cleaner,Books,FitLife,3,58.89,0,0,12,,Credit Card,Delivered,New York,NY,Canada,SELL00372
46857,ORD0046858,08-04-2024,CUST045578,Ritika Kumar,P00038,External HDD 2TB,Toys & Games,NexPro,2,177.18,0.15,0,8.4,,Credit Card,Delivered,Los Angeles,CA,United States,SELL01796
91673,ORD0091674,16-10-2023,CUST024210,Simran Gupta,P00042,Projector Mini,Clothing,NexPro,2,242.4,0.2,46.54,11.34,,Credit Card,Pending,Denver,CO,United States,SELL01141
26677,ORD0026678,25-12-2020,CUST037063,Mohit Singh,P00045,Phone Tripod,Home & Kitchen,HomeEase,1,314.57,0.05,14.94,14.19,,Credit Card,Delivered,Chicago,IL,United States,SELL01731
32630,ORD0032631,27-04-2022,CUST008062,Aarav Patel,P00026,Sunglasses,Toys & Games,NexPro,2,27.42,0,2.74,8.52,,Debit Card,Delivered,San Jose,CA,United States,SELL00353
5804,ORD0005805,10-07-2024,CUST014139,Aarav Singh,P00041,Webcam Full HD,Clothing,FitLife,5,473.06,0.1,383.18,14.67,,Debit Card,Shipped,Los Angeles,CA,India,SELL01724
55648,ORD0055649,14-11-2020,CUST035119,Kabir Kumar,P00027,Winter Jacket,Home & Kitchen,Apex,1,597.44,0.05,0,12.56,,Net Banking,Cancelled,Fort Worth,TX,United States,SELL01196
87961,ORD0087962,10-04-2020,CUST022865,Anjali Kapoor,P00009,Portable SSD 1TB,Clothing,ReadMore,2,412.36,0.3,46.18,7.1,,Debit Card,Delivered,New York,NY,United States,SELL00890
73416,ORD0073417,23-03-2022,CUST009585,Ritika Mehta,P00050,Novel Bestseller,Toys & Games,ReadMore,1,486.88,0.25,0,14.04,,UPI,Shipped,Indianapolis,IN,India,SELL01920
41698,ORD0041699,28-08-2023,CUST009002,Simran Patel,P00048,Wireless Charger,Clothing,CoreTech,5,346.15,0,138.46,8.65,,Cash on Delivery,Delivered,Houston,TX,United States,SELL00042
61281,ORD0061282,18-03-2023,CUST000932,Karan Sharma,P00048,Wireless Charger,Books,ReadMore,3,426.69,0.3,161.29,11.92,,Debit Card,Delivered,Jacksonville,FL,United States,SELL01865
91778,ORD0091779,10-07-2024,CUST021580,Sahil Sharma,P00008,4K Monitor,Toys & Games,KiddoFun,2,255.78,0.1,23.02,5.92,,Debit Card,Shipped,Chicago,IL,United States,SELL01067
91538,ORD0091539,12-11-2022,CUST021711,Neha Verma,P00022,Water Bottle,Books,Zenith,4,158.41,0,76.04,8.8,,Credit Card,Delivered,Los Angeles,CA,United States,SELL01129
34767,ORD0034768,23-07-2022,CUST037597,Aarav Gupta,P00019,LED Desk Lamp,Home & Kitchen,CoreTech,1,8.66,0.1,1.4,4.16,,Debit Card,Cancelled,San Diego,CA,Canada,SELL01652
6508,ORD0006509,18-01-2021,CUST005842,Rohit Sharma,P00021,Backpack,Toys & Games,HomeEase,2,257.01,0.1,37.01,0.7,,Cash on Delivery,Delivered,Houston,TX,United States,SELL01200
93548,ORD0093549,15-10-2023,CUST038793,Priya Gupta,P00032,Board Game,Clothing,Zenith,3,78.48,0,18.84,10.82,,Amazon Pay,Delivered,Fort Worth,TX,United States,SELL00891
43057,ORD0043058,14-08-2021,CUST018831,Ritika Gupta,P00027,Winter Jacket,Clothing,ReadMore,3,38.87,0,5.83,14.05,,UPI,Returned,San Diego,CA,India,SELL00139
21361,ORD0021362,21-09-2021,CUST006004,Sunita Mehta,P00008,4K Monitor,Clothing,HomeEase,5,529.54,0.05,201.23,4.84,,Credit Card,Returned,Indianapolis,IN,India,SELL00533
8298,ORD0008299,16-11-2022,CUST040598,Arjun Singh,P00024,Yoga Mat,Toys & Games,CoreTech,1,154.49,0.2,14.83,6.75,,Credit Card,Shipped,Jacksonville,FL,United States,SELL01105
58621,ORD0058622,28-01-2022,CUST041234,Aditya Reddy,P00008,4K Monitor,Sports & Outdoors,KiddoFun,4,48.25,0,15.44,5.82,,Credit Card,Delivered,Fort Worth,TX,United States,SELL01915
46185,ORD0046186,07-01-2022,CUST046585,Sneha Gupta,P00044,Power Bank 20000mAh,Sports & Outdoors,CoreTech,1,321.63,0.2,12.87,3.93,,UPI,Delivered,San Francisco,CA,Australia,SELL01895
43348,ORD0043349,09-05-2023,CUST030467,Aditya Singh,P00033,Puzzle 1000pc,Clothing,Zenith,2,580.45,0,92.87,0.52,,Net Banking,Delivered,Columbus,OH,United States,SELL01631
58856,ORD0058857,06-09-2022,CUST005659,Arjun Patel,P00044,Power Bank 20000mAh,Electronics,Zenith,3,64.28,0.1,31.24,6.86,,UPI,Delivered,Washington,DC,United States,SELL00116
77027,ORD0077028,20-04-2020,CUST018037,Neha Kumar,P00032,Board Game,Home & Kitchen,Zenith,5,533.38,0,320.03,11.6,,Amazon Pay,Delivered,New York,NY,United States,SELL00454
6405,ORD0006406,27-01-2022,CUST027080,Vikas Joshi,P00040,Microphone,Sports & Outdoors,NexPro,5,385.82,0.05,0,3.19,,Credit Card,Shipped,Charlotte,NC,United States,SELL00398
18000,ORD0018001,29-02-2024,CUST026901,Sneha Singh,P00032,Board Game,Electronics,HomeEase,5,540.7,0.15,114.9,10.1,,Debit Card,Delivered,Washington,DC,India,SELL00009
83311,ORD0083312,13-12-2024,CUST014129,Sunita Reddy,P00004,USB-C Charger,Electronics,KiddoFun,2,331.33,0.05,50.36,13.69,,UPI,Shipped,Chicago,IL,United States,SELL00229
41932,ORD0041933,22-04-2024,CUST008742,Sahil Verma,P00019,LED Desk Lamp,Electronics,KiddoFun,4,60.89,0.05,11.57,0.19,,Net Banking,Delivered,Washington,DC,India,SELL01111
53027,ORD0053028,18-03-2022,CUST034920,Rohit Kumar,P00015,Instant Pot,Toys & Games,ReadMore,4,298.79,0.05,90.83,14.53,,Credit Card,Delivered,Austin,TX,United States,SELL00829
2110,ORD0002111,06-02-2020,CUST017181,Rohit Kapoor,P00009,Portable SSD 1TB,Toys & Games,BrightLux,5,79.59,0.15,27.06,8.97,,Credit Card,Shipped,Chicago,IL,United States,SELL00522
77891,ORD0077892,25-06-2022,CUST039863,Aarav Verma,P00001,Wireless Earbuds,Sports & Outdoors,HomeEase,2,166.85,0.2,21.36,0.22,,Credit Card,Delivered,Austin,TX,United States,SELL00537
1704,ORD0001705,09-05-2020,CUST012750,Priya Kapoor,P00007,Mechanical Keyboard,Books,ReadMore,4,440.51,0,88.1,13.06,,Debit Card,Delivered,Philadelphia,PA,India,SELL01051
39825,ORD0039826,06-10-2023,CUST028629,Anjali Kumar,P00029,T-Shirt,Electronics,NexPro,3,590.59,0.2,113.39,4.02,,UPI,Delivered,Columbus,OH,United States,SELL00780
20771,ORD0020772,08-04-2021,CUST010087,Mohit Gupta,P00004,USB-C Charger,Home & Kitchen,Apex,3,363.64,0.1,78.55,8.9,,Debit Card,Shipped,Seattle,WA,United States,SELL00313
56575,ORD0056576,11-04-2020,CUST047726,Mohit Joshi,P00036,Smart Light Bulb,Electronics,Apex,1,128.12,0,6.41,7.68,,Cash on Delivery,Delivered,San Jose,CA,United States,SELL01443
5139,ORD0005140,25-06-2023,CUST004343,Ritika Singh,P00033,Puzzle 1000pc,Toys & Games,ReadMore,5,357.93,0,143.17,4.73,,Credit Card,Shipped,Phoenix,AZ,United States,SELL01521
57767,ORD0057768,26-08-2021,CUST013255,Karan Mehta,P00038,External HDD 2TB,Toys & Games,Apex,2,191.54,0.2,15.32,3.27,,Credit Card,Delivered,Phoenix,AZ,United States,SELL00181
37201,ORD0037202,22-05-2020,CUST014243,Sneha Singh,P00016,Air Fryer,Toys & Games,CoreTech,3,240.26,0.15,49.01,3.06,,Net Banking,Delivered,San Antonio,TX,United States,SELL00963
5006,ORD0005007,24-06-2024,CUST002447,Rohit Reddy,P00003,Smartphone Case,Home & Kitchen,NexPro,2,130.81,0.25,23.55,8.88,,UPI,Returned,New York,NY,India,SELL01577
88361,ORD0088362,23-06-2023,CUST014157,Vihaan Patel,P00005,Laptop Sleeve,Toys & Games,BrightLux,2,370.44,0,37.04,10.63,,Cash on Delivery,Delivered,Houston,TX,United States,SELL00734
48600,ORD0048601,05-04-2021,CUST040210,Vivaan Kapoor,P00010,Smartwatch,Clothing,NexPro,4,517.62,0.1,335.42,1.3,,Debit Card,Delivered,Columbus,OH,United States,SELL01011
3266,ORD0003267,08-06-2020,CUST006018,Simran Kumar,P00050,Novel Bestseller,Sports & Outdoors,CoreTech,4,220.05,0,70.42,12.95,,Credit Card,Cancelled,Charlotte,NC,United States,SELL00302
99585,ORD0099586,20-09-2024,CUST023077,Vivaan Kapoor,P00034,Desk Organizer,Clothing,BrightLux,3,453.89,0.2,87.15,7.46,,Net Banking,Delivered,San Jose,CA,United States,SELL00265
38424,ORD0038425,03-10-2020,CUST006088,Aman Verma,P00024,Yoga Mat,Toys & Games,CoreTech,2,318.91,0.05,30.3,12.58,,UPI,Pending,Phoenix,AZ,United States,SELL00328
5413,ORD0005414,14-06-2020,CUST018751,Rohit Reddy,P00030,Dress Shirt,Home & Kitchen,ReadMore,5,112.31,0.1,40.43,9.04,,UPI,Delivered,Chicago,IL,United Kingdom,SELL01450
93188,ORD0093189,29-04-2023,CUST037853,Anjali Singh,P00024,Yoga Mat,Home & Kitchen,ReadMore,3,310.54,0.05,0,10.49,,Amazon Pay,Delivered,Dallas,TX,United States,SELL00381
80843,ORD0080844,18-04-2021,CUST028513,Aarav Joshi,P00028,Jeans,Toys & Games,FitLife,5,109.29,0,0,14.73,,UPI,Returned,Washington,DC,United States,SELL00909
94572,ORD0094573,06-05-2020,CUST028887,Simran Joshi,P00004,USB-C Charger,Clothing,UrbanStyle,5,378.5,0.05,143.83,2.29,,Credit Card,Delivered,San Antonio,TX,United States,SELL01873
69809,ORD0069810,13-11-2020,CUST039591,Sneha Patel,P00039,Graphic Tablet,Home & Kitchen,Zenith,2,156.82,0.2,45.16,4.05,,Credit Card,Delivered,Fort Worth,TX,United States,SELL00049
53044,ORD0053045,04-10-2020,CUST048375,Anjali Kumar,P00010,Smartwatch,Clothing,Zenith,3,529,0,0,5.16,,Amazon Pay,Shipped,Phoenix,AZ,India,SELL01090
91097,ORD0091098,15-11-2020,CUST014698,Vikas Kapoor,P00013,Action Camera,Books,HomeEase,2,413.75,0,41.38,11.37,,Debit Card,Delivered,San Jose,CA,United Kingdom,SELL00989
85693,ORD0085694,04-02-2023,CUST003716,Ritika Kumar,P00042,Projector Mini,Home & Kitchen,BrightLux,1,493.98,0,59.28,12.56,,Debit Card,Delivered,Chicago,IL,India,SELL01623
89782,ORD0089783,03-05-2023,CUST006700,Neha Kapoor,P00046,Car Charger,Clothing,BrightLux,2,467.02,0,112.08,8.45,,Credit Card,Delivered,San Diego,CA,India,SELL00777
19120,ORD0019121,13-03-2023,CUST037025,Pooja Verma,P00027,Winter Jacket,Sports & Outdoors,ReadMore,3,298.89,0,44.83,8.69,,Credit Card,Delivered,Seattle,WA,Australia,SELL01260
94727,ORD0094728,05-01-2021,CUST036032,Pooja Mehta,P00039,Graphic Tablet,Books,Zenith,1,294.07,0.05,13.97,11.36,,UPI,Returned,San Antonio,TX,United States,SELL01566
11395,ORD0011396,26-09-2021,CUST043658,Vikas Gupta,P00046,Car Charger,Sports & Outdoors,Zenith,5,296.65,0.2,213.59,0.96,,Credit Card,Delivered,Chicago,IL,United States,SELL01898
61766,ORD0061767,10-05-2024,CUST011592,Neha Kapoor,P00039,Graphic Tablet,Electronics,Apex,2,180.02,0,28.8,9.61,,Amazon Pay,Delivered,Indianapolis,IN,United States,SELL00310
94418,ORD0094419,28-08-2020,CUST019229,Rohit Verma,P00013,Action Camera,Home & Kitchen,CoreTech,2,206.99,0.1,0,6.77,,Credit Card,Delivered,Houston,TX,United States,SELL00891
9729,ORD0009730,28-10-2021,CUST013331,Kabir Verma,P00034,Desk Organizer,Electronics,HomeEase,5,57.52,0,51.77,12.37,,Credit Card,Delivered,Washington,DC,United States,SELL01856
26621,ORD0026622,06-06-2022,CUST017156,Vivaan Mehta,P00011,Fitness Band,Home & Kitchen,KiddoFun,2,69.63,0,11.14,10.04,,Debit Card,Pending,New York,NY,United States,SELL01448
71153,ORD0071154,12-05-2020,CUST041014,Ritika Sharma,P00027,Winter Jacket,Clothing,UrbanStyle,2,311.87,0.1,44.91,12.31,,UPI,Delivered,Columbus,OH,United States,SELL00141
94421,ORD0094422,02-03-2024,CUST015944,Kabir Kumar,P00026,Sunglasses,Books,BrightLux,5,451.71,0.1,162.62,13.04,,Debit Card,Delivered,Charlotte,NC,India,SELL00143
63170,ORD0063171,25-03-2022,CUST043744,Simran Kapoor,P00039,Graphic Tablet,Home & Kitchen,NexPro,3,370.13,0.3,38.86,4.32,,Debit Card,Delivered,Austin,TX,United States,SELL00762
28531,ORD0028532,26-08-2020,CUST046329,Vivaan Joshi,P00024,Yoga Mat,Toys & Games,Zenith,2,564.49,0,90.32,12.33,,UPI,Delivered,Austin,TX,India,SELL00200
66954,ORD0066955,25-12-2024,CUST017540,Vivaan Singh,P00004,USB-C Charger,Sports & Outdoors,Zenith,2,99.43,0.05,15.11,5.83,,Credit Card,Cancelled,Columbus,OH,United States,SELL00070
61506,ORD0061507,18-05-2020,CUST001303,Pooja Mehta,P00001,Wireless Earbuds,Books,HomeEase,3,472.64,0.05,107.76,14.61,,Credit Card,Delivered,Austin,TX,United States,SELL00119
5611,ORD0005612,14-05-2020,CUST043142,Karan Sharma,P00034,Desk Organizer,Home & Kitchen,UrbanStyle,4,191.05,0.25,68.78,9.26,,Cash on Delivery,Returned,Indianapolis,IN,United States,SELL01949
39821,ORD0039822,12-12-2021,CUST035636,Arjun Kumar,P00043,HDMI Cable 2m,Clothing,HomeEase,2,48.88,0.1,10.56,8.66,,Credit Card,Shipped,Austin,TX,United Kingdom,SELL01006
76899,ORD0076900,28-07-2021,CUST032980,Karan Mehta,P00050,Novel Bestseller,Home & Kitchen,FitLife,4,483.35,0,232.01,7.93,,Amazon Pay,Delivered,San Antonio,TX,United Kingdom,SELL01097
12397,ORD0012398,02-07-2023,CUST023517,Pooja Singh,P00018,Vacuum Cleaner,Sports & Outdoors,HomeEase,3,191.26,0,28.69,8.92,,Credit Card,Pending,Austin,TX,India,SELL01363
60309,ORD0060310,27-03-2024,CUST028601,Sneha Singh,P00005,Laptop Sleeve,Books,CoreTech,5,519.29,0.2,103.86,2.79,,Debit Card,Delivered,Jacksonville,FL,United States,SELL00278
1070,ORD0001071,25-09-2021,CUST015540,Aman Reddy,P00012,Noise Cancelling Headphones,Electronics,FitLife,4,558.66,0.15,151.96,12.15,,Credit Card,Shipped,San Antonio,TX,United States,SELL01678
50490,ORD0050491,06-03-2020,CUST032152,Neha Patel,P00047,Memory Card 128GB,Electronics,ReadMore,2,91.61,0.3,23.09,7.31,,Amazon Pay,Shipped,San Antonio,TX,United States,SELL00378
13665,ORD0013666,08-05-2023,CUST003797,Ritika Kumar,P00016,Air Fryer,Books,BrightLux,3,420.27,0.2,80.69,9.77,,Credit Card,Delivered,San Francisco,CA,United States,SELL00232
19534,ORD0019535,29-05-2024,CUST007990,Aditya Reddy,P00023,Cookware Set,Clothing,ReadMore,2,318.05,0.05,48.34,13.8,,Net Banking,Shipped,Philadelphia,PA,United States,SELL01694
47623,ORD0047624,25-10-2024,CUST032430,Aditya Singh,P00012,Noise Cancelling Headphones,Sports & Outdoors,UrbanStyle,5,102.45,0.1,55.32,5.32,,Net Banking,Delivered,Seattle,WA,United States,SELL00387
10228,ORD0010229,29-07-2020,CUST033407,Pooja Verma,P00023,Cookware Set,Toys & Games,NexPro,2,553.13,0,0,0.2,,Debit Card,Delivered,Charlotte,NC,India,SELL01047
97361,ORD0097362,26-01-2021,CUST033608,Sahil Mehta,P00031,Kids Toy Car,Books,FitLife,1,322.77,0.05,36.8,5.7,,Debit Card,Delivered,New York,NY,India,SELL00861
66715,ORD0066716,25-09-2022,CUST029204,Arjun Gupta,P00009,Portable SSD 1TB,Electronics,NexPro,1,332.4,0,59.83,10.9,,Credit Card,Shipped,Jacksonville,FL,United States,SELL01580
46141,ORD0046142,06-03-2024,CUST049901,Sahil Kumar,P00012,Noise Cancelling Headphones,Home & Kitchen,ReadMore,1,475.56,0.1,0,3.07,,Credit Card,Delivered,Austin,TX,India,SELL00974
11313,ORD0011314,30-03-2020,CUST025324,Ritika Kapoor,P00011,Fitness Band,Sports & Outdoors,Zenith,3,389.66,0.05,55.53,0.81,,Credit Card,Delivered,Phoenix,AZ,United States,SELL00078
29745,ORD0029746,03-06-2023,CUST032475,Vikas Reddy,P00002,Bluetooth Speaker,Home & Kitchen,UrbanStyle,3,63.89,0,0,7.3,,UPI,Delivered,Phoenix,AZ,United States,SELL00422
6628,ORD0006629,03-08-2023,CUST003144,Neha Reddy,P00003,Smartphone Case,Home & Kitchen,Apex,2,256.01,0,0,1.13,,Credit Card,Delivered,Houston,TX,United States,SELL01871
19129,ORD0019130,01-08-2024,CUST020374,Simran Kapoor,P00023,Cookware Set,Books,CoreTech,3,514.56,0.05,117.32,3.11,,UPI,Shipped,Columbus,OH,United States,SELL00289
24159,ORD0024160,02-02-2022,CUST008117,Kabir Verma,P00033,Puzzle 1000pc,Sports & Outdoors,NexPro,1,303.82,0.1,21.88,11.72,,UPI,Shipped,Charlotte,NC,India,SELL01094
88362,ORD0088363,28-10-2023,CUST029510,Neha Kapoor,P00046,Car Charger,Home & Kitchen,NexPro,5,277.14,0.05,0,12.84,,Net Banking,Delivered,Charlotte,NC,United States,SELL00341
16882,ORD0016883,04-02-2023,CUST041957,Vikas Verma,P00010,Smartwatch,Books,ReadMore,2,88.49,0.2,11.33,1.1,,Credit Card,Delivered,Indianapolis,IN,United States,SELL00491
22104,ORD0022105,21-01-2022,CUST004921,Priya Verma,P00036,Smart Light Bulb,Books,CoreTech,4,418.34,0.05,127.18,10.24,,UPI,Delivered,Denver,CO,United States,SELL00801
36209,ORD0036210,08-05-2022,CUST034468,Aditya Sharma,P00018,Vacuum Cleaner,Electronics,KiddoFun,5,441.32,0,110.33,7.46,,Amazon Pay,Shipped,Chicago,IL,United States,SELL01530
55465,ORD0055466,22-06-2023,CUST015908,Aarav Verma,P00026,Sunglasses,Books,ReadMore,2,195.42,0,19.54,5.19,,Amazon Pay,Delivered,Dallas,TX,United States,SELL01291
55100,ORD0055101,10-11-2021,CUST039888,Aarav Patel,P00040,Microphone,Electronics,Zenith,3,170.69,0.05,58.38,7.51,,Credit Card,Delivered,San Francisco,CA,United States,SELL00845
17779,ORD0017780,15-01-2020,CUST009716,Pooja Sharma,P00010,Smartwatch,Books,CoreTech,4,522.63,0,250.86,2.28,,UPI,Cancelled,New York,NY,India,SELL01839
6337,ORD0006338,29-08-2022,CUST035826,Simran Sharma,P00026,Sunglasses,Home & Kitchen,BrightLux,2,271.47,0.05,41.26,7.01,,UPI,Delivered,Phoenix,AZ,United States,SELL00430
41571,ORD0041572,24-02-2023,CUST036644,Vihaan Reddy,P00049,Children's Book,Sports & Outdoors,NexPro,4,583.53,0.05,110.87,7.72,,Credit Card,Delivered,San Antonio,TX,United States,SELL00644
15840,ORD0015841,23-11-2023,CUST045451,Simran Gupta,P00005,Laptop Sleeve,Books,Zenith,4,27.69,0,8.86,9.11,,Cash on Delivery,Shipped,Philadelphia,PA,United States,SELL00956
81566,ORD0081567,13-05-2023,CUST035032,Pooja Gupta,P00039,Graphic Tablet,Electronics,Apex,1,374.68,0,44.96,0.77,,Amazon Pay,Cancelled,Washington,DC,India,SELL00911
44569,ORD0044570,01-10-2021,CUST034288,Aman Reddy,P00023,Cookware Set,Home & Kitchen,Apex,2,12.12,0.1,1.75,5.72,,Cash on Delivery,Delivered,San Francisco,CA,United States,SELL00584
27317,ORD0027318,16-03-2023,CUST042422,Priya Kapoor,P00036,Smart Light Bulb,Books,UrbanStyle,2,195.63,0,19.56,3.93,,Amazon Pay,Delivered,Washington,DC,India,SELL01698
8185,ORD0008186,03-06-2024,CUST048372,Neha Kumar,P00026,Sunglasses,Clothing,UrbanStyle,2,70.83,0.2,5.67,14.39,,Credit Card,Delivered,New York,NY,United States,SELL00727
436,ORD0000437,04-10-2023,CUST047497,Sahil Kumar,P00033,Puzzle 1000pc,Home & Kitchen,Zenith,5,36.14,0.05,8.58,11.65,,Debit Card,Shipped,Indianapolis,IN,United Kingdom,SELL00556
29296,ORD0029297,25-12-2020,CUST019972,Anjali Gupta,P00027,Winter Jacket,Electronics,KiddoFun,1,169.72,0,20.37,6.9,,Debit Card,Shipped,Seattle,WA,United States,SELL01275
6438,ORD0006439,07-06-2024,CUST031649,Karan Joshi,P00040,Microphone,Toys & Games,NexPro,4,64.66,0.15,26.38,12.53,,Cash on Delivery,Delivered,Phoenix,AZ,United States,SELL00738
13005,ORD0013006,16-02-2021,CUST007725,Neha Sharma,P00031,Kids Toy Car,Books,Zenith,3,397.36,0.2,76.29,7.8,,UPI,Shipped,Jacksonville,FL,India,SELL00812
4391,ORD0004392,09-03-2023,CUST010596,Priya Gupta,P00022,Water Bottle,Electronics,BrightLux,4,134.52,0.05,92.01,5.7,,UPI,Delivered,Chicago,IL,Canada,SELL00054
39797,ORD0039798,18-03-2024,CUST025355,Vikas Patel,P00005,Laptop Sleeve,Toys & Games,KiddoFun,5,63.06,0,15.76,11.27,,Amazon Pay,Delivered,Phoenix,AZ,United States,SELL01179
