,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID,TotalAmountPredictionByModel,TotalAmount_Original
39017,ORD0039018,06-07-2020,CUST021335,Sneha Mehta,P00032,Board Game,Books,ReadMore,4,530.48,0.3,118.83,0.43,1604.6,Net Banking,Delivered,San Diego,CA,United States,SELL00701,1607.02,1604.6
47326,ORD0047327,10-03-2022,CUST049384,Pooja Gupta,P00032,Board Game,Clothing,HomeEase,2,129.83,0,0,7.6,267.26,Credit Card,Shipped,Washington,DC,United States,SELL01541,263.695,267.26
44572,ORD0044573,20-06-2024,CUST032944,Arjun Reddy,P00009,Portable SSD 1TB,Home & Kitchen,Zenith,3,508.74,0.25,57.23,6.89,1208.79,Debit Card,Delivered,Dallas,TX,United States,SELL01161,1208.4025,1208.79
54158,ORD0054159,05-03-2020,CUST021882,Vikas Verma,P00042,Projector Mini,Clothing,UrbanStyle,5,261.2,0.3,164.56,0.11,1078.87,Credit Card,Delivered,New York,NY,United States,SELL01203,1081.7665,1078.87
80087,ORD0080088,30-08-2023,CUST032838,Mohit Kapoor,P00041,Webcam Full HD,Clothing,CoreTech,5,155.63,0.25,70.03,13.05,666.69,Debit Card,Delivered,Denver,CO,United States,SELL01874,659.203,666.69
67787,ORD0067788,31-10-2021,CUST041134,Vikas Kumar,P00036,Smart Light Bulb,Home & Kitchen,ReadMore,2,511.71,0.05,77.78,9.8,1059.83,UPI,Delivered,San Antonio,TX,United States,SELL00922,1059.7294,1059.83
48553,ORD0048554,23-04-2022,CUST004422,Pooja Singh,P00014,Drone Mini,Books,ReadMore,2,585.96,0,58.6,0.32,1230.84,Debit Card,Delivered,Charlotte,NC,India,SELL00930,1234.41,1230.84
82385,ORD0082386,29-05-2021,CUST029711,Vihaan Sharma,P00050,Novel Bestseller,Electronics,BrightLux,3,528.36,0,126.81,3.82,1715.71,Amazon Pay,Shipped,Philadelphia,PA,United States,SELL01731,1715.9006,1715.71
12188,ORD0012189,08-01-2024,CUST049799,Aditya Sharma,P00016,Air Fryer,Clothing,NexPro,1,552.09,0.2,35.33,13.38,490.38,Amazon Pay,Delivered,Austin,TX,United States,SELL00509,488.6428,490.38
55166,ORD0055167,20-10-2020,CUST003185,Mohit Mehta,P00047,Memory Card 128GB,Toys & Games,ReadMore,3,168.32,0.05,86.35,0.97,567.03,Credit Card,Delivered,Indianapolis,IN,United Kingdom,SELL01234,570.1311,567.03
12139,ORD0012140,23-05-2023,CUST032546,Simran Patel,P00013,Action Camera,Toys & Games,BrightLux,1,55.62,0.15,2.36,1.31,50.95,Net Banking,Delivered,Dallas,TX,United States,SELL00870,51.3372,50.95
62122,ORD0062123,09-05-2021,CUST011139,Neha Mehta,P00008,4K Monitor,Home & Kitchen,ReadMore,3,93.31,0.1,20.15,3.14,275.23,Credit Card,Shipped,Charlotte,NC,United States,SELL01023,277.6659,275.23
89526,ORD0089527,03-12-2024,CUST014828,Karan Joshi,P00001,Wireless Earbuds,Clothing,Apex,1,408.39,0.05,19.4,5.12,412.49,UPI,Delivered,Phoenix,AZ,Canada,SELL01187,411.7455,412.49
75060,ORD0075061,07-03-2022,CUST001440,Simran Kumar,P00011,Fitness Band,Books,KiddoFun,4,452.05,0.1,195.29,7.49,1830.16,Amazon Pay,Delivered,San Antonio,TX,United States,SELL01542,1829.7234,1830.16
22181,ORD0022182,28-02-2023,CUST007896,Sneha Singh,P00025,Running Shoes,Toys & Games,KiddoFun,2,495.65,0.15,151.67,1.71,995.98,Debit Card,Shipped,San Jose,CA,United States,SELL01240,996.3599,995.98
73774,ORD0073775,08-03-2023,CUST016261,Sahil Reddy,P00050,Novel Bestseller,Electronics,NexPro,3,184.19,0.15,84.54,10.29,564.51,Amazon Pay,Delivered,Columbus,OH,United States,SELL00951,562.1823,564.51
29391,ORD0029392,29-09-2024,CUST034324,Simran Mehta,P00048,Wireless Charger,Electronics,NexPro,2,235.49,0.15,0,12.08,412.41,Debit Card,Shipped,Charlotte,NC,United States,SELL00233,413.7338,412.41
44916,ORD0044917,11-06-2022,CUST032328,Sahil Reddy,P00046,Car Charger,Books,UrbanStyle,5,8.77,0,3.51,0.58,47.94,Debit Card,Delivered,San Antonio,TX,United States,SELL01386,49.1219,47.94
91106,ORD0091107,25-04-2022,CUST047721,Aman Reddy,P00004,USB-C Charger,Toys & Games,Zenith,3,596.54,0.15,121.69,14.49,1657.36,Net Banking,Delivered,San Diego,CA,United States,SELL00390,1651.7832,1657.36
72299,ORD0072300,15-10-2021,CUST040344,Sneha Verma,P00041,Webcam Full HD,Home & Kitchen,BrightLux,3,114.93,0.05,26.2,4.63,358.38,Cash on Delivery,Delivered,Philadelphia,PA,United States,SELL00802,360.0543,358.38
25116,ORD0025117,19-03-2023,CUST018645,Vivaan Verma,P00001,Wireless Earbuds,Home & Kitchen,Apex,4,406.46,0.05,123.56,2.91,1671.02,Amazon Pay,Delivered,Los Angeles,CA,United States,SELL01256,1673.1814,1671.02
83276,ORD0083277,01-07-2024,CUST020352,Mohit Gupta,P00005,Laptop Sleeve,Toys & Games,Zenith,1,170.27,0,20.43,12.89,203.59,Credit Card,Cancelled,Denver,CO,United States,SELL01510,202.4139,203.59
820,ORD0000821,10-08-2024,CUST011799,Vivaan Patel,P00003,Smartphone Case,Clothing,KiddoFun,5,531.95,0.05,202.14,6.92,2735.82,Credit Card,Delivered,Washington,DC,United States,SELL00625,2734.6513,2735.82
44498,ORD0044499,22-12-2021,CUST020566,Aarav Kapoor,P00041,Webcam Full HD,Home & Kitchen,Zenith,3,417.64,0,62.65,11.04,1326.61,Credit Card,Pending,Phoenix,AZ,United States,SELL01194,1325.6932,1326.61
39209,ORD0039210,04-07-2023,CUST001245,Vihaan Reddy,P00040,Microphone,Toys & Games,CoreTech,5,310.69,0,77.67,10.19,1641.31,Amazon Pay,Shipped,Indianapolis,IN,India,SELL01817,1641.7389,1641.31
14293,ORD0014294,10-04-2021,CUST045961,Kabir Joshi,P00003,Smartphone Case,Books,HomeEase,1,386.05,0.15,39.38,14.36,381.88,Amazon Pay,Delivered,Seattle,WA,United States,SELL01914,381.0504,381.88
42265,ORD0042266,21-04-2023,CUST039450,Arjun Singh,P00010,Smartwatch,Sports & Outdoors,CoreTech,1,109.69,0,0,2.23,111.92,Credit Card,Delivered,Philadelphia,PA,United States,SELL00784,112.3148,111.92
42407,ORD0042408,04-02-2022,CUST005277,Sahil Verma,P00009,Portable SSD 1TB,Electronics,Zenith,2,391.22,0.15,33.25,14.22,712.54,Debit Card,Shipped,Chicago,IL,United States,SELL01611,709.9707,712.54
5957,ORD0005958,26-10-2020,CUST026085,Karan Kumar,P00040,Microphone,Sports & Outdoors,Apex,3,589.66,0.05,0,4.3,1684.83,Net Banking,Delivered,San Francisco,CA,United States,SELL01309,1689.3793,1684.83
31453,ORD0031454,25-06-2021,CUST010591,Ritika Gupta,P00046,Car Charger,Home & Kitchen,Zenith,4,333.41,0.05,63.35,0.89,1331.2,Debit Card,Delivered,Charlotte,NC,United States,SELL01183,1330.4535,1331.2
13920,ORD0013921,12-06-2023,CUST018281,Vikas Joshi,P00001,Wireless Earbuds,Electronics,ReadMore,5,471.35,0.1,106.05,10.23,2237.36,Credit Card,Delivered,Jacksonville,FL,India,SELL01234,2236.7914,2237.36
32987,ORD0032988,09-08-2020,CUST009646,Aarav Reddy,P00034,Desk Organizer,Sports & Outdoors,Zenith,1,207.16,0,10.36,2.79,220.31,Cash on Delivery,Delivered,San Jose,CA,Australia,SELL01057,220.2378,220.31
96634,ORD0096635,30-08-2023,CUST037684,Priya Patel,P00043,HDMI Cable 2m,Home & Kitchen,BrightLux,5,59.2,0.2,11.84,2.49,251.13,Credit Card,Pending,Houston,TX,United States,SELL01163,254.044,251.13
86699,ORD0086700,20-07-2021,CUST042615,Neha Singh,P00023,Cookware Set,Sports & Outdoors,BrightLux,3,508.16,0.05,260.69,2.21,1711.16,Debit Card,Delivered,Chicago,IL,United States,SELL01701,1712.5684,1711.16
80442,ORD0080443,18-10-2024,CUST028645,Rohit Patel,P00003,Smartphone Case,Books,KiddoFun,5,104.35,0.05,39.65,1.81,537.12,UPI,Delivered,Los Angeles,CA,United States,SELL01399,540.1485,537.12
54673,ORD0054674,23-02-2023,CUST007901,Simran Reddy,P00045,Phone Tripod,Sports & Outdoors,HomeEase,1,212.33,0.15,0,4.34,184.82,Debit Card,Delivered,Seattle,WA,United States,SELL01652,185.4188,184.82
30537,ORD0030538,13-10-2021,CUST048168,Anjali Patel,P00038,External HDD 2TB,Books,HomeEase,1,43.23,0.05,3.29,1.99,46.35,Net Banking,Delivered,San Jose,CA,United States,SELL00865,46.6096,46.35
6916,ORD0006917,02-01-2022,CUST037920,Priya Sharma,P00003,Smartphone Case,Books,FitLife,5,50.11,0.3,8.77,11.17,195.32,Credit Card,Delivered,Chicago,IL,United States,SELL00206,196.8452,195.32
11341,ORD0011342,22-12-2020,CUST018020,Pooja Joshi,P00023,Cookware Set,Sports & Outdoors,KiddoFun,2,373.09,0.25,67.16,9.26,636.05,Amazon Pay,Delivered,Washington,DC,United States,SELL00148,635.3972,636.05
46793,ORD0046794,06-03-2024,CUST011467,Vihaan Joshi,P00001,Wireless Earbuds,Books,UrbanStyle,3,565.31,0.1,183.16,9.06,1718.56,Credit Card,Delivered,Charlotte,NC,United States,SELL00356,1717.8758,1718.56
23296,ORD0023297,09-11-2022,CUST028974,Anjali Mehta,P00009,Portable SSD 1TB,Books,Zenith,4,543.41,0,173.89,9.62,2357.15,Credit Card,Shipped,Dallas,TX,United States,SELL00122,2355.7499,2357.15
59211,ORD0059212,16-11-2020,CUST008058,Ritika Verma,P00037,Router,Toys & Games,BrightLux,5,491.43,0,196.57,9.74,2663.46,Credit Card,Delivered,New York,NY,United States,SELL00295,2663.1535,2663.46
56076,ORD0056077,29-06-2023,CUST015866,Vikas Sharma,P00015,Instant Pot,Toys & Games,FitLife,5,376.35,0.05,214.52,2.05,2004.23,Debit Card,Delivered,Dallas,TX,United Kingdom,SELL00975,2006.5873,2004.23
77911,ORD0077912,23-11-2022,CUST013835,Aman Singh,P00019,LED Desk Lamp,Toys & Games,FitLife,4,183.57,0.05,55.81,8.71,762.09,Amazon Pay,Delivered,Washington,DC,Australia,SELL01744,761.3241,762.09
39609,ORD0039610,07-04-2023,CUST039931,Sneha Kapoor,P00030,Dress Shirt,Sports & Outdoors,BrightLux,5,311.26,0.15,66.14,14.71,1403.71,UPI,Delivered,Los Angeles,CA,Canada,SELL01754,1399.0963,1403.71
47137,ORD0047138,04-02-2021,CUST008428,Pooja Kapoor,P00009,Portable SSD 1TB,Books,Zenith,4,127.13,0.05,86.96,10.39,580.44,Net Banking,Delivered,Washington,DC,United States,SELL00996,578.7721,580.44
51585,ORD0051586,15-05-2021,CUST018099,Sunita Verma,P00019,LED Desk Lamp,Clothing,NexPro,5,240.34,0.1,86.52,2.69,1170.74,Cash on Delivery,Returned,Houston,TX,India,SELL00820,1175.0662,1170.74
60182,ORD0060183,15-12-2020,CUST048243,Aarav Verma,P00009,Portable SSD 1TB,Clothing,FitLife,5,438.54,0.05,166.65,6.8,2256.52,Credit Card,Delivered,Columbus,OH,India,SELL00830,2258.2892,2256.52
41471,ORD0041472,15-04-2020,CUST045058,Pooja Kapoor,P00021,Backpack,Clothing,CoreTech,4,409.69,0.25,61.45,7.2,1297.72,UPI,Shipped,Austin,TX,United States,SELL01385,1297.5469,1297.72
29227,ORD0029228,31-01-2020,CUST009594,Vivaan Verma,P00013,Action Camera,Sports & Outdoors,UrbanStyle,5,291.64,0.3,0,7.7,1028.44,Credit Card,Delivered,Los Angeles,CA,United States,SELL01307,1043.789,1028.44
19857,ORD0019858,29-06-2021,CUST047140,Anjali Patel,P00035,Desk Plant,Home & Kitchen,HomeEase,5,193.46,0,48.37,10.44,1026.11,Debit Card,Delivered,Washington,DC,Canada,SELL01923,1024.5069,1026.11
34760,ORD0034761,15-05-2020,CUST024594,Anjali Mehta,P00001,Wireless Earbuds,Clothing,CoreTech,5,440.69,0.15,93.65,14.23,1980.81,Credit Card,Shipped,New York,NY,United States,SELL01096,1979.5872,1980.81
80065,ORD0080066,10-02-2020,CUST028662,Aditya Sharma,P00018,Vacuum Cleaner,Books,FitLife,2,86.25,0,8.62,14.22,195.34,UPI,Delivered,San Antonio,TX,United States,SELL01008,193.1849,195.34
17385,ORD0017386,03-10-2021,CUST027265,Pooja Mehta,P00004,USB-C Charger,Home & Kitchen,FitLife,5,250.85,0.05,59.58,11.92,1263.04,UPI,Delivered,Houston,TX,United States,SELL01494,1261.9405,1263.04
29305,ORD0029306,01-10-2024,CUST031583,Vihaan Reddy,P00042,Projector Mini,Clothing,Zenith,5,120.87,0,48.35,11.6,664.3,Debit Card,Pending,Denver,CO,United States,SELL00846,660.7084,664.3
72329,ORD0072330,12-11-2022,CUST042937,Arjun Kapoor,P00021,Backpack,Sports & Outdoors,UrbanStyle,4,206.08,0.25,49.46,7.22,674.92,Debit Card,Delivered,San Jose,CA,United States,SELL01072,675.6085,674.92
38107,ORD0038108,26-02-2024,CUST012473,Simran Sharma,P00047,Memory Card 128GB,Sports & Outdoors,KiddoFun,3,352.85,0,84.68,10.85,1154.08,Net Banking,Delivered,San Francisco,CA,United States,SELL01408,1153.1046,1154.08
52064,ORD0052065,06-03-2020,CUST047158,Sneha Reddy,P00015,Instant Pot,Clothing,BrightLux,5,227.44,0,56.86,4.23,1198.29,Debit Card,Shipped,Houston,TX,India,SELL00792,1197.3573,1198.29
25187,ORD0025188,06-12-2024,CUST026690,Vikas Sharma,P00038,External HDD 2TB,Electronics,NexPro,1,294.99,0.2,18.88,14.45,269.32,UPI,Delivered,Columbus,OH,United Kingdom,SELL01768,267.4397,269.32
3664,ORD0003665,10-08-2023,CUST000206,Aarav Mehta,P00042,Projector Mini,Electronics,Zenith,1,161.03,0.05,7.65,2.11,162.74,Debit Card,Delivered,Phoenix,AZ,United States,SELL00457,162.8317,162.74
35078,ORD0035079,10-11-2022,CUST033163,Aarav Verma,P00011,Fitness Band,Clothing,UrbanStyle,5,487.91,0,292.75,0.42,2732.72,Net Banking,Delivered,Denver,CO,United States,SELL01793,2734.1128,2732.72
27984,ORD0027985,04-01-2024,CUST023404,Mohit Verma,P00037,Router,Sports & Outdoors,Zenith,2,289.86,0.05,0,6.13,556.86,Credit Card,Delivered,Philadelphia,PA,Canada,SELL01041,561.5054,556.86
22387,ORD0022388,03-07-2022,CUST008878,Anjali Kumar,P00050,Novel Bestseller,Sports & Outdoors,ReadMore,1,522.39,0,26.12,12.53,561.04,Net Banking,Delivered,Charlotte,NC,United States,SELL00139,560.916,561.04
80433,ORD0080434,08-06-2023,CUST009926,Ritika Mehta,P00020,Office Chair,Sports & Outdoors,FitLife,3,296.5,0.1,64.04,11.2,875.79,Debit Card,Delivered,Washington,DC,United States,SELL00723,874.9199,875.79
31475,ORD0031476,24-07-2022,CUST031799,Sneha Mehta,P00033,Puzzle 1000pc,Toys & Games,HomeEase,2,51.17,0,5.12,4.56,112.02,Credit Card,Delivered,Phoenix,AZ,United States,SELL00872,111.2109,112.02
15616,ORD0015617,06-06-2020,CUST002779,Mohit Mehta,P00035,Desk Plant,Sports & Outdoors,ReadMore,3,581.31,0,139.51,12.97,1896.41,Amazon Pay,Delivered,Denver,CO,Canada,SELL00342,1894.9573,1896.41
55835,ORD0055836,21-02-2023,CUST033479,Arjun Patel,P00041,Webcam Full HD,Toys & Games,Zenith,5,412.59,0,247.55,6.16,2316.66,Amazon Pay,Delivered,Houston,TX,India,SELL00209,2317.0644,2316.66
64915,ORD0064916,25-08-2022,CUST002829,Kabir Kumar,P00013,Action Camera,Home & Kitchen,NexPro,5,592.34,0.05,337.63,0.99,3152.24,Net Banking,Delivered,San Jose,CA,Canada,SELL00536,3154.4318,3152.24
30481,ORD0030482,01-06-2022,CUST038848,Aarav Mehta,P00006,Gaming Mouse,Toys & Games,ReadMore,2,120.67,0.2,9.65,2.3,205.02,Amazon Pay,Delivered,Indianapolis,IN,United States,SELL01789,204.8381,205.02
6306,ORD0006307,05-04-2020,CUST026437,Vivaan Gupta,P00013,Action Camera,Sports & Outdoors,Zenith,5,144.07,0.1,0,8.95,657.26,Net Banking,Delivered,Washington,DC,Australia,SELL00953,656.5693,657.26
64183,ORD0064184,29-06-2024,CUST009612,Priya Gupta,P00011,Fitness Band,Books,ReadMore,4,532.68,0.15,90.56,3.4,1905.07,Net Banking,Shipped,Denver,CO,United States,SELL01176,1907.4043,1905.07
94816,ORD0094817,20-01-2022,CUST008264,Karan Verma,P00008,4K Monitor,Electronics,Zenith,5,196.87,0.05,46.76,13.98,995.87,Amazon Pay,Delivered,San Jose,CA,United States,SELL00547,993.726,995.87
79011,ORD0079012,20-02-2023,CUST025466,Sahil Mehta,P00022,Water Bottle,Clothing,UrbanStyle,3,289.6,0,104.26,7.12,980.18,Amazon Pay,Delivered,Denver,CO,United States,SELL01425,982.0948,980.18
56431,ORD0056432,26-11-2024,CUST047838,Simran Sharma,P00038,External HDD 2TB,Books,KiddoFun,1,254.74,0.1,11.46,1.1,241.83,Credit Card,Shipped,San Francisco,CA,United States,SELL00713,242.3922,241.83
42794,ORD0042795,06-07-2024,CUST037613,Vihaan Mehta,P00006,Gaming Mouse,Toys & Games,HomeEase,3,203.03,0,48.73,12.31,670.13,Debit Card,Shipped,Indianapolis,IN,United States,SELL01793,668.3562,670.13
81814,ORD0081815,13-01-2022,CUST006320,Sunita Singh,P00034,Desk Organizer,Home & Kitchen,KiddoFun,5,504.44,0.25,151.33,6.85,2049.83,Debit Card,Delivered,Phoenix,AZ,United States,SELL00889,2051.3897,2049.83
85447,ORD0085448,18-05-2020,CUST033107,Priya Mehta,P00004,USB-C Charger,Electronics,FitLife,1,127.8,0.05,6.07,12.03,139.51,Credit Card,Delivered,Seattle,WA,Canada,SELL01870,139.3388,139.51
29946,ORD0029947,06-08-2024,CUST023728,Vihaan Joshi,P00049,Children's Book,Toys & Games,UrbanStyle,1,377.31,0.05,17.92,7.02,383.38,Net Banking,Delivered,Phoenix,AZ,India,SELL00125,383.5653,383.38
90505,ORD0090506,25-01-2024,CUST018031,Aditya Singh,P00045,Phone Tripod,Books,CoreTech,1,49.67,0,2.48,6.01,58.16,Debit Card,Delivered,Fort Worth,TX,United States,SELL00676,57.931,58.16
94394,ORD0094395,11-12-2023,CUST005878,Vivaan Verma,P00035,Desk Plant,Electronics,CoreTech,4,354.16,0.1,229.5,8.95,1513.43,Credit Card,Delivered,Dallas,TX,India,SELL01858,1508.8393,1513.43
83614,ORD0083615,15-08-2022,CUST008687,Vikas Kapoor,P00044,Power Bank 20000mAh,Sports & Outdoors,UrbanStyle,3,127.16,0,45.78,4.72,431.98,Amazon Pay,Cancelled,Columbus,OH,United States,SELL00119,432.1739,431.98
91744,ORD0091745,17-08-2022,CUST023251,Vivaan Kumar,P00031,Kids Toy Car,Toys & Games,BrightLux,1,234.62,0.1,25.34,6.34,242.84,Debit Card,Delivered,San Francisco,CA,United States,SELL00338,243.4507,242.84
95297,ORD0095298,22-10-2022,CUST045255,Sahil Gupta,P00003,Smartphone Case,Electronics,UrbanStyle,2,139.24,0,0,4.72,283.2,Debit Card,Delivered,Austin,TX,United States,SELL01046,282.1319,283.2
58775,ORD0058776,14-05-2024,CUST031475,Simran Verma,P00034,Desk Organizer,Books,KiddoFun,3,172.87,0,41.49,5.66,565.76,Cash on Delivery,Delivered,Seattle,WA,India,SELL00503,565.3789,565.76
73283,ORD0073284,02-07-2023,CUST044820,Vivaan Verma,P00015,Instant Pot,Electronics,NexPro,4,271.75,0,86.96,0.85,1174.81,UPI,Pending,Jacksonville,FL,United States,SELL01054,1177.5413,1174.81
18602,ORD0018603,25-09-2021,CUST047736,Anjali Sharma,P00037,Router,Toys & Games,BrightLux,2,243.34,0.2,19.47,14.39,423.2,Amazon Pay,Delivered,Phoenix,AZ,United States,SELL01707,421.7504,423.2
38504,ORD0038505,07-09-2021,CUST009613,Mohit Gupta,P00002,Bluetooth Speaker,Toys & Games,CoreTech,4,369.1,0.25,132.88,3.4,1243.58,Debit Card,Delivered,San Jose,CA,Canada,SELL01743,1247.7857,1243.58
9900,ORD0009901,04-01-2022,CUST046701,Neha Kapoor,P00035,Desk Plant,Books,ReadMore,2,151.27,0.05,51.73,0.27,339.41,Net Banking,Delivered,Denver,CO,United States,SELL00633,341.4476,339.41
70111,ORD0070112,31-08-2020,CUST048977,Ritika Reddy,P00035,Desk Plant,Sports & Outdoors,KiddoFun,5,534.16,0.2,170.93,12.73,2320.3,UPI,Delivered,San Antonio,TX,United States,SELL00293,2316.1006,2320.3
56078,ORD0056079,03-07-2023,CUST022246,Ritika Joshi,P00037,Router,Home & Kitchen,UrbanStyle,4,214.25,0.05,65.13,14,893.28,Debit Card,Delivered,San Francisco,CA,United States,SELL00423,890.5727,893.28
37361,ORD0037362,03-07-2021,CUST022764,Vivaan Patel,P00039,Graphic Tablet,Books,CoreTech,2,105.92,0.1,34.32,8.79,233.77,Credit Card,Pending,Philadelphia,PA,India,SELL01913,234.195,233.77
64369,ORD0064370,04-04-2023,CUST020227,Aarav Verma,P00011,Fitness Band,Sports & Outdoors,UrbanStyle,1,465.95,0.1,20.97,1.06,441.39,Credit Card,Delivered,Columbus,OH,United States,SELL00595,442.0414,441.39
48096,ORD0048097,09-11-2023,CUST037339,Vivaan Singh,P00025,Running Shoes,Sports & Outdoors,Apex,3,152.78,0.25,0,3.34,347.1,Net Banking,Delivered,San Jose,CA,United States,SELL00076,352.8309,347.1
55940,ORD0055941,03-08-2024,CUST020711,Vikas Sharma,P00010,Smartwatch,Toys & Games,NexPro,1,539.8,0.05,41.02,4.48,558.31,Amazon Pay,Shipped,San Francisco,CA,United States,SELL01960,558.8294,558.31
53877,ORD0053878,22-07-2020,CUST005186,Rohit Sharma,P00034,Desk Organizer,Books,NexPro,3,7.42,0.2,0.89,5.15,23.85,UPI,Delivered,Chicago,IL,India,SELL00488,24.6727,23.85
71977,ORD0071978,19-08-2020,CUST040297,Simran Kumar,P00009,Portable SSD 1TB,Sports & Outdoors,ReadMore,4,39.2,0.05,7.45,8.07,164.48,Amazon Pay,Delivered,San Diego,CA,United States,SELL00086,163.6509,164.48
20171,ORD0020172,09-01-2023,CUST047552,Vikas Joshi,P00022,Water Bottle,Clothing,HomeEase,3,87.02,0,13.05,10.25,284.36,Credit Card,Shipped,Seattle,WA,Canada,SELL01106,282.2894,284.36
8913,ORD0008914,07-06-2022,CUST030574,Ritika Mehta,P00025,Running Shoes,Books,Zenith,2,19.5,0,1.95,7.51,48.46,Amazon Pay,Cancelled,Fort Worth,TX,United Kingdom,SELL01500,48.1407,48.46
82271,ORD0082272,14-10-2023,CUST022266,Karan Mehta,P00030,Dress Shirt,Toys & Games,ReadMore,3,502.15,0.05,114.49,10.16,1555.78,Credit Card,Shipped,Seattle,WA,India,SELL00317,1554.5155,1555.78
83738,ORD0083739,21-10-2023,CUST036881,Ritika Kapoor,P00002,Bluetooth Speaker,Toys & Games,Zenith,1,414.73,0,33.18,14.79,462.7,Credit Card,Shipped,Chicago,IL,Canada,SELL00114,461.4864,462.7
70611,ORD0070612,06-10-2023,CUST010298,Rohit Gupta,P00023,Cookware Set,Clothing,FitLife,3,508.8,0,0,11.8,1538.2,Credit Card,Delivered,New York,NY,United Kingdom,SELL00417,1536.9239,1538.2
32974,ORD0032975,31-01-2024,CUST005572,Sunita Reddy,P00002,Bluetooth Speaker,Electronics,CoreTech,1,35.71,0.05,1.7,3.28,38.9,UPI,Returned,Fort Worth,TX,India,SELL00849,39.2929,38.9
95270,ORD0095271,30-08-2021,CUST048968,Neha Kapoor,P00007,Mechanical Keyboard,Toys & Games,ReadMore,4,474.29,0.15,193.51,0.11,1806.21,Credit Card,Delivered,San Diego,CA,United States,SELL01491,1807.5219,1806.21
29263,ORD0029264,12-03-2021,CUST007354,Kabir Gupta,P00011,Fitness Band,Books,FitLife,2,27.47,0.25,0,14.71,55.92,UPI,Delivered,San Francisco,CA,United States,SELL01495,57.64,55.92
10878,ORD0010879,22-12-2024,CUST003124,Simran Gupta,P00036,Smart Light Bulb,Home & Kitchen,CoreTech,1,471.72,0,56.61,8.18,536.51,Credit Card,Delivered,Washington,DC,United States,SELL01926,536.6534,536.51
21384,ORD0021385,17-10-2023,CUST048829,Sneha Sharma,P00002,Bluetooth Speaker,Home & Kitchen,Zenith,5,553.64,0.15,282.36,11.79,2647.12,Amazon Pay,Cancelled,Los Angeles,CA,United States,SELL01924,2647.837,2647.12
28123,ORD0028124,05-05-2021,CUST027876,Sunita Gupta,P00025,Running Shoes,Sports & Outdoors,ReadMore,3,343.8,0,123.77,11.84,1167.01,Amazon Pay,Delivered,San Francisco,CA,United States,SELL01159,1164.2627,1167.01
59146,ORD0059147,10-05-2020,CUST032375,Anjali Kumar,P00027,Winter Jacket,Toys & Games,CoreTech,5,563.27,0,140.82,12.46,2969.63,UPI,Delivered,Fort Worth,TX,United States,SELL00544,2968.2797,2969.63
72491,ORD0072492,27-07-2022,CUST015226,Sahil Verma,P00049,Children's Book,Electronics,FitLife,1,188.19,0,9.41,0.32,197.92,Amazon Pay,Shipped,Jacksonville,FL,India,SELL00900,198.552,197.92
27143,ORD0027144,04-02-2023,CUST027497,Neha Joshi,P00021,Backpack,Books,KiddoFun,1,297.16,0.05,22.58,8.44,313.32,UPI,Shipped,Columbus,OH,Australia,SELL00963,313.5356,313.32
86210,ORD0086211,20-05-2024,CUST008919,Sunita Joshi,P00035,Desk Plant,Electronics,UrbanStyle,4,438.8,0,140.42,14.58,1910.2,Cash on Delivery,Delivered,Philadelphia,PA,United States,SELL01518,1906.285,1910.2
15483,ORD0015484,22-10-2020,CUST001564,Sneha Gupta,P00017,Electric Kettle,Electronics,ReadMore,5,370.21,0.05,211.02,5.89,1975.41,Debit Card,Delivered,Seattle,WA,India,SELL01213,1976.2639,1975.41
16916,ORD0016917,06-01-2020,CUST018680,Vivaan Kumar,P00030,Dress Shirt,Toys & Games,ReadMore,1,574.82,0.25,0,5.56,436.68,UPI,Delivered,New York,NY,United States,SELL00619,438.0265,436.68
29161,ORD0029162,27-03-2024,CUST031060,Pooja Kapoor,P00030,Dress Shirt,Home & Kitchen,Zenith,5,491.49,0,196.6,14.98,2669.03,Credit Card,Delivered,Dallas,TX,India,SELL01812,2666.1481,2669.03
31887,ORD0031888,09-08-2024,CUST002934,Aarav Kapoor,P00013,Action Camera,Home & Kitchen,NexPro,3,179.97,0,43.19,0.1,583.2,UPI,Delivered,Chicago,IL,India,SELL01520,585.2519,583.2
16375,ORD0016376,16-02-2020,CUST033346,Simran Patel,P00038,External HDD 2TB,Home & Kitchen,NexPro,4,354.04,0.25,53.11,13.92,1129.15,UPI,Delivered,San Jose,CA,India,SELL01409,1122.0086,1129.15
77901,ORD0077902,01-05-2022,CUST010316,Vivaan Verma,P00004,USB-C Charger,Toys & Games,BrightLux,2,545.82,0,87.33,2.02,1180.99,Cash on Delivery,Delivered,Chicago,IL,United States,SELL01754,1181.6806,1180.99
3034,ORD0003035,15-09-2022,CUST033312,Vivaan Kumar,P00037,Router,Electronics,FitLife,2,411.31,0.05,93.78,2.54,877.81,Credit Card,Delivered,Charlotte,NC,United States,SELL01044,878.1402,877.81
96429,ORD0096430,09-11-2020,CUST026829,Sahil Kapoor,P00004,USB-C Charger,Sports & Outdoors,Apex,5,153.22,0.15,78.14,10.05,739.38,Credit Card,Delivered,Dallas,TX,United States,SELL00458,737.8762,739.38
